Turma,Matrículas Ativas,(%) de Presença,(%) Evolução Presença,Aulas Previstas,Aulas Dadas,(%) Aulas Dadas,(%) Evolução Aulas,Matriz,Id Classe,Id Turma,Data Início,Data Fim
1ª SERIE A MANHA ANUAL - 40973151,40,"62,3%","0,0%",120,81,"67,5%","0,0%",1,300271084,40973151,2026-02-02 00:00:00,2026-12-18 00:00:00
1ª SERIE B MANHA ANUAL - 40973153,41,"67,8%","0,0%",120,83,"69,2%","0,0%",1,300271086,40973153,2026-02-02 00:00:00,2026-12-18 00:00:00
1ª SERIE C MANHA ANUAL - 40973155,41,"61,1%","0,0%",120,82,"68,3%","0,0%",1,300271088,40973155,2026-02-02 00:00:00,2026-12-18 00:00:00
1ª SERIE D MANHA ANUAL - 40973152,41,"64,4%","0,0%",120,83,"69,2%","0,0%",1,300271085,40973152,2026-02-02 00:00:00,2026-12-18 00:00:00
1ª SERIE E MANHA ANUAL - 40973154,41,"62,1%","0,0%",120,83,"69,2%","0,0%",1,300271087,40973154,2026-02-02 00:00:00,2026-12-18 00:00:00
1ª SERIE F MANHA ANUAL - 41000435,39,"54,1%","0,0%",120,84,"70,0%","0,0%",1,300293151,41000435,2026-02-02 00:00:00,2026-12-18 00:00:00
1ª SERIE G NOITE ANUAL - 41368988,44,"65,3%","0,0%",100,45,"45,0%","0,0%",1,300650282,41368988,2026-02-02 00:00:00,2026-12-18 00:00:00
2ª SERIE B MANHA ANUAL - 41214672,36,"47,6%","0,0%",120,82,"68,3%","0,0%",1,300498197,41214672,2026-02-02 00:00:00,2026-12-18 00:00:00
2ª SERIE C MANHA ANUAL - 40962583,38,"67,5%","0,0%",120,81,"67,5%","0,0%",1,300260516,40962583,2026-02-02 00:00:00,2026-12-18 00:00:00
2ª SERIE D MANHA ANUAL - 40962584,33,"63,5%","0,0%",120,79,"65,8%","0,0%",1,300260517,40962584,2026-02-02 00:00:00,2026-12-18 00:00:00
2ª SERIE E MANHA ANUAL - 40962585,35,"63,0%","0,0%",120,83,"69,2%","0,0%",1,300260518,40962585,2026-02-02 00:00:00,2026-12-18 00:00:00
2ª SERIE F NOITE ANUAL - 40962586,42,"51,8%","0,0%",100,70,"70,0%","0,0%",1,300260519,40962586,2026-02-02 00:00:00,2026-12-18 00:00:00
2ª SERIE G NOITE ANUAL - 41372006,43,"69,0%","0,0%",100,44,"44,0%","0,0%",1,300653300,41372006,2026-02-02 00:00:00,2026-12-18 00:00:00
3ª SERIE B MANHA ANUAL - 40951208,40,"70,1%","0,0%",120,83,"69,2%","0,0%",1,300249141,40951208,2026-02-02 00:00:00,2026-12-18 00:00:00
3ª SERIE C MANHA ANUAL - 40951209,38,"59,1%","0,0%",120,82,"68,3%","0,0%",1,300249142,40951209,2026-02-02 00:00:00,2026-12-18 00:00:00
3ª SERIE D NOITE ANUAL - 40951207,43,"68,9%","0,0%",100,70,"70,0%","0,0%",1,300249140,40951207,2026-02-02 00:00:00,2026-12-18 00:00:00
3ª SERIE E NOITE ANUAL - 41369227,44,"82,6%","0,0%",100,42,"42,0%","0,0%",1,300650521,41369227,2026-02-02 00:00:00,2026-12-18 00:00:00
4050 - ADMINISTRAÇÃO - 3ª SERIE A MANHA ANUAL - 40965844,23,"73,7%","0,0%",120,84,"70,0%","0,0%",1,300263777,40965844,2026-02-02 00:00:00,2026-12-18 00:00:00
6° ANO A TARDE ANUAL - 40981121,35,"75,8%","0,0%",120,81,"67,5%","0,0%",1,300279053,40981121,2026-02-02 00:00:00,2026-12-18 00:00:00
6° ANO B TARDE ANUAL - 40981122,35,"78,4%","0,0%",120,84,"70,0%","0,0%",1,300279054,40981122,2026-02-02 00:00:00,2026-12-18 00:00:00
6° ANO C TARDE ANUAL - 40981123,36,"70,3%","0,0%",120,82,"68,3%","0,0%",1,300279055,40981123,2026-02-02 00:00:00,2026-12-18 00:00:00
6082 - DESENVOLVIMENTO DE SISTEMAS - 2ª SERIE A MANHA ANUAL - 41141644,39,"81,0%","0,0%",128,83,"64,8%","0,0%",1,300426247,41141644,2026-02-02 00:00:00,2026-12-18 00:00:00
7º ANO A TARDE ANUAL - 40938655,34,"61,7%","0,0%",120,84,"70,0%","0,0%",1,300236588,40938655,2026-02-02 00:00:00,2026-12-18 00:00:00
7º ANO B TARDE ANUAL - 40938657,30,"70,2%","0,0%",120,83,"69,2%","0,0%",1,300236590,40938657,2026-02-02 00:00:00,2026-12-18 00:00:00
7º ANO C TARDE ANUAL - 40938656,31,"60,3%","0,0%",120,84,"70,0%","0,0%",1,300236589,40938656,2026-02-02 00:00:00,2026-12-18 00:00:00
8º ANO A TARDE ANUAL - 40938660,32,"79,5%","0,0%",120,82,"68,3%","0,0%",1,300236593,40938660,2026-02-02 00:00:00,2026-12-18 00:00:00
8º ANO B TARDE ANUAL - 40938654,30,"67,4%","0,0%",120,84,"70,0%","0,0%",1,300236587,40938654,2026-02-02 00:00:00,2026-12-18 00:00:00
8º ANO C TARDE ANUAL - 40938651,35,"62,8%","0,0%",120,84,"70,0%","0,0%",1,300236584,40938651,2026-02-02 00:00:00,2026-12-18 00:00:00
8º ANO D TARDE ANUAL - 40938652,33,"68,9%","0,0%",120,84,"70,0%","0,0%",1,300236585,40938652,2026-02-02 00:00:00,2026-12-18 00:00:00
9° ANO A TARDE ANUAL - 40938653,36,"79,0%","0,0%",120,84,"70,0%","0,0%",1,300236586,40938653,2026-02-02 00:00:00,2026-12-18 00:00:00
9° ANO B TARDE ANUAL - 40938650,36,"70,9%","0,0%",120,84,"70,0%","0,0%",1,300236583,40938650,2026-02-02 00:00:00,2026-12-18 00:00:00
9° ANO C TARDE ANUAL - 40938658,38,"71,3%","0,0%",120,82,"68,3%","0,0%",1,300236591,40938658,2026-02-02 00:00:00,2026-12-18 00:00:00
9° ANO D TARDE ANUAL - 40938659,35,"70,1%","0,0%",120,84,"70,0%","0,0%",1,300236592,40938659,2026-02-02 00:00:00,2026-12-18 00:00:00
